Date	SAS2(degC)<Average>	SAS1(degC)<Average>	TUNNEL6(degC)<Average>	CHAMBRE8(degC)<Average>	TEMP_EXTERIEURE(degC)<Average>	CHAMBRE9(degC)<Average>	TUNNEL5(degC)<Average>	TEMP_QUAI(degC)<Average>	SDM2(degC)<Average>	CONDUCTIVITE(mS)<Average>	PRESSION BP(Bars)<Average>	PRESSION HP_0(Bars)<Average>	PRESSION HP(Bars)<Average>	COMPTEUR EAU GENERAL(m3)	COMPTEUR EAU SALLE DES MACHINES(m3)
14/06/2017 00:40:00 	16.3999996185	16.5000000000	-0.6961644888	-21.9305458069	16.1605052948	-21.3638038635	-25.8664646149	16.2000007629	29.5935382843	1366.9440917969	-4.2494597435	-6.2499284744	-6.2503767014	56133	35755
14/06/2017 00:30:00 	16.3999996185	16.5000000000	-0.6000000238	-21.7696247101	15.7195997238	-21.2230873108	-25.7048702240	16.2379207611	29.4142799377	1310.4085693359	-4.2494106293	-6.2499046326	-6.2503409386	56133	35755
14/06/2017 00:20:00 	16.3999996185	16.4974308014	-0.6000000238	-21.6534042358	15.2469577789	-21.0494060516	-25.5426654816	16.2999992371	29.3107738495	1286.9989013672	-4.2494258881	-6.2499332428	-6.2503418922	56133	35755
14/06/2017 00:10:00 	16.3999996185	16.4867572784	-0.6000000238	-21.5219097137	15.2100315094	-20.8282279968	-25.3378963470	16.3810596466	29.2124481201	1306.8079833984	-4.2494387627	-6.2498369217	-6.2503299713	56133	35755
14/06/2017 00:00:00 	16.3999996185	16.5000000000	-0.6000000238	-21.4279174805	15.5579414368	-20.6054840088	-25.1052951813	16.3999996185	29.0851707458	1297.4335937500	-4.2494263649	-6.2499251366	-6.2504377365	56133	35755
13/06/2017 23:50:00 	16.3999996185	16.5000000000	-0.6000000238	-21.2768344879	15.9299840927	-20.3869838715	-24.7744522095	16.3999996185	28.8949756622	1390.5832519531	-4.2494330406	-6.2498493195	-6.2502894402	56133	35755
13/06/2017 23:40:00 	16.3999996185	16.4937839508	-0.6000000238	-21.1115188599	16.5336380005	-20.1437053680	-24.3985157013	16.4126911163	28.6323776245	1368.5183105469	-4.2494769096	-6.2498335838	-6.2504558563	56133	35755
13/06/2017 23:30:00 	16.3999996185	16.4678173065	-0.6000000238	-20.9492321014	16.5134429932	-19.9313030243	-23.8748569489	16.4747714996	28.2931156158	1300.3680419922	-4.2495064735	-6.2499046326	-6.2504482269	56133	35755
13/06/2017 23:20:00 	16.3999996185	16.5000000000	-0.6000000238	-20.7309494019	16.6896896362	-19.6881351471	-23.2946987152	16.5000000000	27.8384456635	1293.1739501953	-4.2493791580	-6.2498292923	-6.2504124641	56133	35755
13/06/2017 23:10:00 	16.3975105286	16.4766883850	-0.5778641701	-20.6566963196	16.7582855225	-19.6733379364	-23.0167446136	16.5421981812	27.3869018555	1399.7531738281	-4.2494134903	-6.2499403954	-6.2504558563	56133	35755
13/06/2017 23:00:00 	16.3999996185	16.3999996185	-0.5969608426	-20.6449661255	17.2187366486	-19.3183917999	-22.7705059052	16.6000003815	27.3077011108	1363.1153564453	-4.2493476868	-6.2500000000	-6.2501907349	56133	35755
13/06/2017 22:50:00 	16.3999996185	16.3999996185	-0.5985157490	-20.3957195282	17.3564205170	-19.2000007629	-22.8728694916	16.6000003815	27.2705726624	1345.6293945312	-4.2493481636	-6.2500000000	-6.2502193451	56133	35755
13/06/2017 22:40:00 	16.3999996185	16.3999996185	-0.5338673592	-20.1188983917	17.9440479279	-19.2049274445	-21.6526966095	16.6225147247	27.1292514801	1311.7630615234	-4.2493395805	-6.2500000000	-6.2502498627	56133	35755
13/06/2017 22:30:00 	16.3999996185	16.3999996185	-0.5179416537	-19.8313770294	19.7627696991	-19.2049217224	-19.5189609528	16.6984634399	27.0178890228	1261.3533935547	-4.2493743896	-6.2499880791	-6.2502145767	56133	35755
13/06/2017 22:20:00 	16.3999996185	16.4176063538	-0.5653029680	-19.4577941895	21.3452091217	-19.2252197266	-19.2926464081	16.7000007629	26.9079914093	1372.0780029297	-4.2494206429	-6.2499012947	-6.2503833771	56133	35755
13/06/2017 22:10:00 	16.3793907166	16.4030914307	-0.6499050260	-18.8544311523	21.9139575958	-19.2214546204	-19.8276042938	16.7000007629	26.4483680725	1363.7379150391	-4.2494034767	-6.2498607635	-6.2504773140	56133	35755
13/06/2017 22:00:00 	16.3021221161	16.4457454681	-0.6999999881	-18.7896080017	22.4022445679	-19.2267570496	-20.8303642273	16.7394104004	26.4630069733	1315.0136718750	-4.2493476868	-6.2500000000	-6.2501549721	56133	35755
13/06/2017 21:50:00 	16.3999996185	16.4281711578	-0.6999999881	-18.7987384796	22.8596248627	-19.2443294525	-22.2758159637	16.7999992371	26.6916103363	1311.3625488281	-4.2493224144	-6.2500000000	-6.2501978874	56133	35755
13/06/2017 21:40:00 	16.3999996185	16.4526062012	-0.6999999881	-18.7959957123	23.8540725708	-19.2308082581	-22.4132900238	16.8046932220	26.7442016602	1268.5860595703	-4.2493491173	-6.2500000000	-6.2503452301	56133	35755
13/06/2017 21:30:00 	16.3999996185	16.4015350342	-0.6999999881	-18.7999992371	24.3891429901	-19.2426719666	-21.1414470673	16.8940963745	26.6179008484	1293.2851562500	-4.2493977547	-6.2500000000	-6.2502765656	56133	35755
13/06/2017 21:20:00 	16.3999996185	16.4052276611	-0.6999999881	-18.7999992371	24.8607425690	-19.2250556946	-18.5798282623	16.8999996185	26.2175846100	1315.0544433594	-4.2493515015	-6.2498812675	-6.2504386902	56133	35755
13/06/2017 21:10:00 	16.3999996185	16.3981533051	-0.6999999881	-18.7999992371	25.7551612854	-19.2862262726	-15.4799270630	16.8999996185	25.7621326447	1396.2178955078	-4.2493667603	-6.2499604225	-6.2502727509	56133	35755
13/06/2017 21:00:00 	16.3999996185	16.3859443665	-0.6999999881	-18.8375988007	26.8465042114	-19.2999992371	-14.3433170319	16.8999996185	25.7000007629	1362.3472900391	-4.2493076324	-6.2500000000	-6.2502508163	56133	35755
13/06/2017 20:50:00 	16.3999996185	16.3491363525	-0.6999999881	-18.8764228821	27.6921176910	-19.2999992371	-14.5854434967	16.8999996185	25.7373580933	1363.5404052734	-4.2493429184	-6.2500000000	-6.2502112389	56133	35755
13/06/2017 20:40:00 	16.3999996185	16.3999996185	-0.6999999881	-18.8999996185	28.6358070374	-19.2922859192	-14.8782052994	16.8999996185	25.7999992371	1364.2500000000	-4.2493495941	-6.2500000000	-6.2501783371	56133	35755
13/06/2017 20:30:00 	16.3999996185	16.3635272980	-0.6999999881	-18.9144496918	30.2714424133	-19.2999992371	-15.1513366699	16.8999996185	25.7999992371	1363.1702880859	-4.2493443489	-6.2500000000	-6.2501826286	56133	35755
13/06/2017 20:20:00 	16.3999996185	16.3999996185	-0.7098810077	-18.9620113373	31.7305049896	-19.2999992371	-15.4535779953	16.8999996185	25.8802719116	1362.5263671875	-4.2493343353	-6.2500000000	-6.2501816750	56133	35755
13/06/2017 20:10:00 	16.3999996185	16.3792400360	-0.7748058438	-19	32.3319396973	-19.2999992371	-15.7711820602	16.8999996185	25.9363594055	1361.3983154297	-4.2493329048	-6.2500000000	-6.2501511574	56133	35755
13/06/2017 20:00:00 	16.3999996185	16.3981513977	-0.8000000119	-19.0204067230	33.6280403137	-19.2999992371	-16.1571311951	16.8217182159	26	1359.9036865234	-4.2493462563	-6.2500000000	-6.2502245903	56133	35755
13/06/2017 19:50:00 	16.3999996185	16.3972206116	-0.8000000119	-19.1000003815	34.7250099182	-19.2999992371	-16.5546951294	16.7999992371	26.0914573669	1358.8753662109	-4.2493333817	-6.2500000000	-6.2501258850	56133	35755
13/06/2017 19:40:00 	16.4501285553	16.3999996185	-0.8000000119	-19.1000003815	35.1706886292	-19.2999992371	-16.9962024689	16.7999992371	26.1198005676	1358.8352050781	-4.2493796349	-6.2500000000	-6.2501549721	56133	35755
13/06/2017 19:30:00 	16.5000000000	16.4516468048	-0.8000000119	-19.1384677887	34.9662055969	-19.2999992371	-17.5070037842	16.7999992371	26.2000007629	1359.5310058594	-4.2493119240	-6.2500000000	-6.2501339912	56133	35755
13/06/2017 19:20:00 	16.5000000000	16.5798931122	-0.8000000119	-19.2000007629	35.1734504700	-19.2999992371	-18.0695724487	16.7873020172	26.2837352753	1358.8952636719	-4.2493801117	-6.2500000000	-6.2501730919	56133	35755
13/06/2017 19:10:00 	16.5000000000	16.6241035461	-0.8000000119	-19.2040061951	35.9807128906	-19.2999992371	-18.6772785187	16.7826995850	26.3792991638	1357.3820800781	-4.2493724823	-6.2500000000	-6.2502202988	56133	35755
13/06/2017 19:00:00 	16.5000000000	16.6133079529	-0.8000000119	-19.2651195526	35.9602851868	-19.2999992371	-19.3835182190	16.7128410339	26.5191402435	1356.7652587891	-4.2493495941	-6.2500000000	-6.2502818108	56133	35755
13/06/2017 18:50:00 	16.5784091949	16.6000003815	-0.8000000119	-19.3465309143	36.3707275391	-19.2999992371	-20.1954612732	16.7000007629	26.7051773071	1355.0079345703	-4.2493276596	-6.2500000000	-6.2501788139	56133	35755
13/06/2017 18:40:00 	16.6000003815	16.5556888580	-0.8000000119	-19.3999996185	37.6332130432	-19.2999992371	-21.3738994598	16.7065429688	26.9622478485	1354.1601562500	-4.2493472099	-6.2500000000	-6.2502617836	56133	35755
13/06/2017 18:30:00 	16.6000003815	16.5312595367	-0.8000000119	-19.4530506134	37.0248489380	-19.3047332764	-22.8165016174	16.7052536011	27.2728004456	1347.8774414062	-4.2493934631	-6.2499918938	-6.2502579689	56133	35755
13/06/2017 18:20:00 	16.6922664642	16.5124454498	-0.8000000119	-19.4783363342	35.9576721191	-19.3048839569	-22.9779224396	16.6839294434	27.2518901825	1333.5458984375	-4.2493963242	-6.2499918938	-6.2502102852	56133	35755
13/06/2017 18:10:00 	16.7000007629	16.5027961731	-0.8000000119	-19.5000000000	36.6229019165	-19.2999992371	-22.0795650482	16.6000003815	27.1103897095	1347.6392822266	-4.2493882179	-6.2500000000	-6.2502212524	56133	35755
13/06/2017 18:00:00 	16.7678585052	16.5727977753	-0.8138860464	-19.5796718597	33.7295684814	-19.2999992371	-20.3392925262	16.6000003815	26.6634712219	1331.9163818359	-4.2493772507	-6.2499451637	-6.2502779961	56133	35755
13/06/2017 17:50:00 	16.8225612640	16.5654430389	-0.8067735434	-19.6345920563	34.7524299622	-19.2999992371	-19.4908313751	16.5445880890	26.7695960999	1285.8715820312	-4.2493128777	-6.2500000000	-6.2501311302	56133	35755
13/06/2017 17:40:00 	16.9213771820	16.5965900421	-0.8492643237	-19.7026500702	34.9837646484	-19.2999992371	-20.6337203979	16.4698276520	27.0738449097	1283.7167968750	-4.2492985725	-6.2500000000	-6.2501716614	56133	35755
13/06/2017 17:30:00 	17.0380001068	16.5968914032	-0.8741918206	-19.7975044250	35.2370681763	-19.2999992371	-21.9507560730	16.3776168823	27.1447296143	1282.1381835938	-4.2494010925	-6.2500000000	-6.2502326965	56133	35755
13/06/2017 17:20:00 	17.2066440582	16.5836887360	-0.8784320354	-19.7999992371	34.4450874329	-19.2999992371	-20.4099845886	16.2635078430	27.0352439880	1287.8962402344	-4.2492771149	-6.2500000000	-6.2501840591	56133	35755
13/06/2017 17:10:00 	17.5365848541	16.4865493774	-0.8944190145	-19.8695945740	33.3962135315	-19.2776927948	-17.5123233795	16.2000007629	26.4676227570	1420.2574462891	-4.2493910789	-6.2498035431	-6.2504673004	56133	35755
13/06/2017 17:00:00 	18.0687160492	16.4074325562	-0.8612999916	-19.9723091125	34.5255050659	-19.3442840576	-15.2424697876	16.1097068787	26.3208026886	1364.1691894531	-4.2493648529	-6.2499918938	-6.2501974106	56133	35755
13/06/2017 16:50:00 	18.6239051819	16.3326759338	-0.8999999762	-20.0494995117	33.3820724487	-19.3402347565	-15.2777814865	16.0009136200	26.4742660522	1363.5170898438	-4.2493410110	-6.2500000000	-6.2502408028	56133	35755
13/06/2017 16:40:00 	18.8457050323	16.1714420319	-0.8999999762	-20.3471336365	33.2035446167	-19.3470802307	-16.0939846039	16.0052738190	26.6959781647	1361.8686523438	-4.2493314743	-6.2500000000	-6.2501163483	56133	35755
13/06/2017 16:30:00 	18.8126029968	15.8798561096	-0.8953770399	-20.9366855621	32.2008247375	-19.3387584686	-16.7842159271	16.0945510864	27.0267543793	1360.5786132812	-4.2493367195	-6.2500000000	-6.2501926422	56133	35755
13/06/2017 16:20:00 	18.5906448364	15.4481830597	-0.8000000119	-21.5680351257	32.9579772949	-19.3464622498	-17.3423023224	16.1000003815	27.3719844818	1365.9077148438	-4.2493662834	-6.2500000000	-6.2501878738	56133	35755
